Sentiment,Customer Review,corpus
Positive,barang dah sampe suka banget sama barang nya kurir juga ramah ??,barang dah sampe suka banget sama barang nya kurir juga ramah ??
Positive,"Barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.Best seller","barang bagus dan cepat sekali sampainya ke cianjur, hanya 2 hari.best seller"
Positive,"kain green screen nya datang sesuai deskripsi, walaupun kainnya agak tipis tp gpp masih bisa dipakai dengan baik","kain green screen nya datang sesuai deskripsi, walaupun kainnya agak tipis tp gpp masih bisa dipakai dengan baik"
Positive,"Tidak licin. Pembelian ke sekian. Bagus, warna sesuai gambar.","tidak licin. pembelian ke sekian. bagus, warna sesuai gambar."
Positive,"semurah ini dan sebagus ini maaf ya telat baru ada kuota bajunya lagi dijemur,,,Ringan dipakai. Jahitannya rapi. Ukuran sesuai. Warnanya bagus ??. Bahan menyerap keringat. Tidak menerawang.","semurah ini dan sebagus ini maaf ya telat baru ada kuota bajunya lagi dijemur,,,ringan dipakai. jahitannya rapi. ukuran sesuai. warnanya bagus ??. bahan menyerap keringat. tidak menerawang."
Positive,Semoga cepat awet barang sesuai,semoga cepat awet barang sesuai
Positive,"Kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai.","kainnya gk tipis, standar tebal batik biasa, adem , lembut, variant yg dikirim penjual , sesuai."
Positive,suka banget sama strap maskernya??. lucu + bagus bangett. recommended bgt. bakalan jdi langganan sihhh,suka banget sama strap maskernya??. lucu + bagus bangett. recommended bgt. bakalan jdi langganan sihhh
Positive,"cepet bgt sampai, packing termat sangat aman dan TDK bocor, bubble wrap tebellll sekali, blm dicoba semoga bermanfaat dengan baik","cepet bgt sampai, packing termat sangat aman dan tdk bocor, bubble wrap tebellll sekali, blm dicoba semoga bermanfaat dengan baik"
Positive,barang sudah diterima dan berfungsi dengan baik. terima kasih,barang sudah diterima dan berfungsi dengan baik. terima kasih
Positive,mantap..kinerjannya cepat..sangat responsif...recommended !..,mantap..kinerjannya cepat..sangat responsif...recommended !..
Positive,"Sesuai deskripsi & pesanan. Bahan lembut, nyaman dipakai. Sesuai harga.","sesuai deskripsi & pesanan. bahan lembut, nyaman dipakai. sesuai harga."
Positive,"real pict, pengiriman cepat, pengemasan rapi . worth it lah hrga segitu. pasti next order","real pict, pengiriman cepat, pengemasan rapi . worth it lah hrga segitu. pasti next order"
Positive,sesuai pesanan. kualitas ??,sesuai pesanan. kualitas ??
Positive,"Permukaan screen guard agak kasar. Tisu basah nya sdh kering, packing aman dan pengiriman cepat","permukaan screen guard agak kasar. tisu basah nya sdh kering, packing aman dan pengiriman cepat"
Positive,"Mantul banget response dan pelayanan Seller ini lho!! ????????Dalam kurun waktu 1 hari paketnya tiba di rumah, sepertinya tahu aja kalo emang ditungguin!!????","mantul banget response dan pelayanan seller ini lho!! ????????dalam kurun waktu 1 hari paketnya tiba di rumah, sepertinya tahu aja kalo emang ditungguin!!????"
Positive,Tidak menerawang. Mudah dibentuk. Jahitan rapi. Bahannya adem. Nyaman dipakai. Modelnya cantik ??. Warnanya cantik ??.,tidak menerawang. mudah dibentuk. jahitan rapi. bahannya adem. nyaman dipakai. modelnya cantik ??. warnanya cantik ??.
Positive,"admin cekatan ,barang sampai tepat waktu ,paking rapi ,????????","admin cekatan ,barang sampai tepat waktu ,paking rapi ,????????"
Positive,pengiriman cepat buku dalam kondisi baik,pengiriman cepat buku dalam kondisi baik
Positive,barang sesuai dengan gambar. harga murah tapi kualitas ga murahan. pengiriman nya cepet. oke bgt deh puass,barang sesuai dengan gambar. harga murah tapi kualitas ga murahan. pengiriman nya cepet. oke bgt deh puass
Positive,Gameny aman buat online offline. Anak saya suka banget mainnya. trims seller,gameny aman buat online offline. anak saya suka banget mainnya. trims seller
Positive,"overall keren. Paking aman, seller ramah n fast respond jga ??","overall keren. paking aman, seller ramah n fast respond jga ??"
Positive,"delivery: packing mantap, pengiriman cepat barang: build quality mantap, solid, responsif juga, kyknya beneran ori (rumble ada, amiibo ke-detect, klik home button auto on)","delivery: packing mantap, pengiriman cepat barang: build quality mantap, solid, responsif juga, kyknya beneran ori (rumble ada, amiibo ke-detect, klik home button auto on)"
Positive,"Respon, delivery, packing mantul??barang sesuai, Thx.","respon, delivery, packing mantul??barang sesuai, thx."
Positive,kelengkapan sesuai. Harganya bersaing. harus dimodif casingnya biar bisa masuk ke ps2 seri 50006,kelengkapan sesuai. harganya bersaing. harus dimodif casingnya biar bisa masuk ke ps2 seri 50006
Positive,"bagus balon2nya merekat di dinding atap. seller responsif, langsung kirim sesuai pesanan, pagi pesen siang sampai bahkan pesanan ada yg dilebihin.","bagus balon2nya merekat di dinding atap. seller responsif, langsung kirim sesuai pesanan, pagi pesen siang sampai bahkan pesanan ada yg dilebihin."
Positive,"Jahitannya rapi. Warnanya cantik ??. Ukuran sesuai. ..semoga tetep amanah...sukses selalu,mksh","jahitannya rapi. warnanya cantik ??. ukuran sesuai. ..semoga tetep amanah...sukses selalu,mksh"
Positive,Terima kasih sudah dibookingkan di sini. Pengalamannya baik semua. Lancar dan dapat kamar bagus.,terima kasih sudah dibookingkan di sini. pengalamannya baik semua. lancar dan dapat kamar bagus.
Positive,"Tepat waktu, harga cukup bersahabat & masih dpt bonus jg","tepat waktu, harga cukup bersahabat & masih dpt bonus jg"
Positive,"Seller responsif, order diproses segera dan kirim, tiba tepat waktu. Bahan lap sangat baik menyerap air dan ukuran lap pas utk lap dapur. Terima kasih","seller responsif, order diproses segera dan kirim, tiba tepat waktu. bahan lap sangat baik menyerap air dan ukuran lap pas utk lap dapur. terima kasih"
Positive,anak saya suka ??. Aman untuk si kecil!.,anak saya suka ??. aman untuk si kecil!.
Positive,"Beli ini krn Anak & Istri mau liburan di Jakarta, cari2 ketemu toko ini dengan harga yg masih ramah kantong, untuk pelayanan toko bagus & cepet, packaging nya juga rapih & aman banget, recomended seller. Untuk Difusser nya berfungsi dengan baik, untuk kualitas diffuser nya sendiri termasuk kokoh ya dengan harga segini, puas benget sih pas udah nyobain. Semoga bisa tahan lama difusser nya","beli ini krn anak & istri mau liburan di jakarta, cari2 ketemu toko ini dengan harga yg masih ramah kantong, untuk pelayanan toko bagus & cepet, packaging nya juga rapih & aman banget, recomended seller. untuk difusser nya berfungsi dengan baik, untuk kualitas diffuser nya sendiri termasuk kokoh ya dengan harga segini, puas benget sih pas udah nyobain. semoga bisa tahan lama difusser nya"
Positive,"mantap, recommended seller","mantap, recommended seller"
Positive,Barang bagus banget asli dengan harga sgni dpt quality wireless microphone kek gni the best,barang bagus banget asli dengan harga sgni dpt quality wireless microphone kek gni the best
Positive,"Gueeeercep pol! nanya2 di jam 9, jam 10 transaksi, jam 12 barang udah sampe dari tangerang ke sudirman. packing terbukti aman karena saat pengiriman terjadi hujan (instant courier), pas unboxing isi paket tetap kering! sukses terus gan! recsel!","gueeeercep pol! nanya2 di jam 9, jam 10 transaksi, jam 12 barang udah sampe dari tangerang ke sudirman. packing terbukti aman karena saat pengiriman terjadi hujan (instant courier), pas unboxing isi paket tetap kering! sukses terus gan! recsel!"
Positive,IMEI terdaftar di Kemenperin Barangnya original ?? Penjualnya ramahbanget Barangnya mulus Proses pesanan cepat Berfungsi dengan baik Packaging rapi Ada garansi iBox,imei terdaftar di kemenperin barangnya original ?? penjualnya ramahbanget barangnya mulus proses pesanan cepat berfungsi dengan baik packaging rapi ada garansi ibox
Positive,Awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx,awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx
Positive,"produk original, packing aman jadi kardus engga penyok, mantabs lah","produk original, packing aman jadi kardus engga penyok, mantabs lah"
Positive,"Herbal lengkap dengan harga oke, sudah langganan. Ini foto kalo sudah saya masak jadi tim ayam obat","herbal lengkap dengan harga oke, sudah langganan. ini foto kalo sudah saya masak jadi tim ayam obat"
Positive,Barang nya sesuai yang di foto dan ternyata kualitasnya jauh lebih baik di banding yang saya pikirkan,barang nya sesuai yang di foto dan ternyata kualitasnya jauh lebih baik di banding yang saya pikirkan
Positive,"pengemasan barang baik, kondisi barang jg utuh tanpa cacat, berfungsi normal dan lancar, respon dan servis dari seler juga baik","pengemasan barang baik, kondisi barang jg utuh tanpa cacat, berfungsi normal dan lancar, respon dan servis dari seler juga baik"
Positive,pertama kali pesan wood pallet respon seller gercep lsg sampe dirmh ... awesome ?? next aku pesan lg ... Terimakasih kak ... recommended seller ????,pertama kali pesan wood pallet respon seller gercep lsg sampe dirmh ... awesome ?? next aku pesan lg ... terimakasih kak ... recommended seller ????
Positive,barang sudah sampai??,barang sudah sampai??
Positive,"Nyaman banget dipakai, Tetap bisa gerak maksimal, Kualitas bahan bagusBkn legging yg tipis. Mantaaap","nyaman banget dipakai, tetap bisa gerak maksimal, kualitas bahan bagusbkn legging yg tipis. mantaaap"
Positive,paket AMAN....TQ gan,paket aman....tq gan
Positive,"Overall semua oke, seller respon dan pengiriman. Tapi utk talinya kurang kuat, baru beberapa x pake sudah putus. Next agar dibagusin lg ya. Thx","overall semua oke, seller respon dan pengiriman. tapi utk talinya kurang kuat, baru beberapa x pake sudah putus. next agar dibagusin lg ya. thx"
Positive,"kiriman sdh sampai....proses n pengiriman cepat, barang bagus sesuai pesanan n packing rapih...terima kasih, kak","kiriman sdh sampai....proses n pengiriman cepat, barang bagus sesuai pesanan n packing rapih...terima kasih, kak"
Positive,barang bagus dan pengiriman cepat,barang bagus dan pengiriman cepat
Positive,"Sudah sampai ya handuknya.Pengiriman cepat,Harga bersaing,Kualitas bagus,cocok buat Traveling atau buat ganti2.Warnanya sesuai yg diminta,cerah warnanya.proses cepat.Pengiriman pake antar aja bagus,ramah kurirnya.Terimakasih Seller,Toped dan Kurirnya ya...Salam Sehat dan Sukses yaa","sudah sampai ya handuknya.pengiriman cepat,harga bersaing,kualitas bagus,cocok buat traveling atau buat ganti2.warnanya sesuai yg diminta,cerah warnanya.proses cepat.pengiriman pake antar aja bagus,ramah kurirnya.terimakasih seller,toped dan kurirnya ya...salam sehat dan sukses yaa"
Positive,Suka produknya abbott indonesiaPackingan bagus,suka produknya abbott indonesiapackingan bagus
Positive,Pengiriman Barang cepat dan sesuai spec barang,pengiriman barang cepat dan sesuai spec barang
Positive,"Suara yang dihasilkan jernih.kalau ditambahkan kit giga bass tambah glerr,ditambah lg preeamp mic 2 tr bisa buat karaoke","suara yang dihasilkan jernih.kalau ditambahkan kit giga bass tambah glerr,ditambah lg preeamp mic 2 tr bisa buat karaoke"
Positive,Sesuai dengan deskripsi penjua. Sudah dites fungsi dan beberapa fiturnya dan berjalan dg baik. Kualitas Suara tidak mengecewakan. Harga yg cukup menarik itupun masih diberi bonus kecil. Recomend jd Best seller in toped!,sesuai dengan deskripsi penjua. sudah dites fungsi dan beberapa fiturnya dan berjalan dg baik. kualitas suara tidak mengecewakan. harga yg cukup menarik itupun masih diberi bonus kecil. recomend jd best seller in toped!
Positive,"kelengkapan sesuai. Game nya seru!. gaming terbaik.. Untuk kesekian kalinya beli dsni yang tentu aj selalu Memuaskan, Memuaskan dan Memuaskan... Intinya Seller : Responsif (Seller yang Ramah, Komunikatif bgt dah), Packing jg rapi bgt (Proteksi Untuk Pengiriman Sangat Terjaga), Barang yang Sesuai (Original Dong Pastinya), Proses Pengiriman yang Cepat, Terus Dapet lagi bonus Tumbler nya Luar Biasa Sekali, Thanks yh gan... Buat Lo Pada yang mau beli dsni, langsung aj, gk ush ragu2, sangat Recomended sekali, tidak akan Mengecewakan... Perfect, Mantap, Top Markotop, The Best Of The Best... Sekali lagi Thanks yh gan, Sukses Selalu dah ????????????????????????????","kelengkapan sesuai. game nya seru!. gaming terbaik.. untuk kesekian kalinya beli dsni yang tentu aj selalu memuaskan, memuaskan dan memuaskan... intinya seller : responsif (seller yang ramah, komunikatif bgt dah), packing jg rapi bgt (proteksi untuk pengiriman sangat terjaga), barang yang sesuai (original dong pastinya), proses pengiriman yang cepat, terus dapet lagi bonus tumbler nya luar biasa sekali, thanks yh gan... buat lo pada yang mau beli dsni, langsung aj, gk ush ragu2, sangat recomended sekali, tidak akan mengecewakan... perfect, mantap, top markotop, the best of the best... sekali lagi thanks yh gan, sukses selalu dah ????????????????????????????"
Positive,"barang bagus dan berkualitas, admin ramah dan jujur top pokoknya","barang bagus dan berkualitas, admin ramah dan jujur top pokoknya"
Positive,Barang sesuai & cepat sampai,barang sesuai & cepat sampai
Positive,"mantap bgt.....aroma rasa bkn sekedar isu...mantul dn mempesona,rasa pas di lidah dn irit d kantong,makasih gan.","mantap bgt.....aroma rasa bkn sekedar isu...mantul dn mempesona,rasa pas di lidah dn irit d kantong,makasih gan."
Positive,selalu terbaik. barang dan pelayannya memuaskan as always.,selalu terbaik. barang dan pelayannya memuaskan as always.
Positive,pengirimannya cepat rapi makasih,pengirimannya cepat rapi makasih
Positive,"Airnya segar dan tekanannya pas. Foto sesuai barang. Worth it banget 60ribu, memang layak jadi no 1 terlaris","airnya segar dan tekanannya pas. foto sesuai barang. worth it banget 60ribu, memang layak jadi no 1 terlaris"
Positive,Material Produk Bagus. Produk Sesuai. Kualitas Produk Bagus. Produk Original.,material produk bagus. produk sesuai. kualitas produk bagus. produk original.
Positive,"bagus produknya, fast delivery. thank you seller ^^","bagus produknya, fast delivery. thank you seller ^^"
Positive,masker nyaman dipakainya tidak sesak .....bagus,masker nyaman dipakainya tidak sesak .....bagus
Positive,bagus dan cepat,bagus dan cepat
Positive,Sesuai harga,sesuai harga
Positive,penjual responsive. barang sampai dengan selamat. sudah berkali2 order disini untuk saya bawa ke turki ka. terimakasih ya ka,penjual responsive. barang sampai dengan selamat. sudah berkali2 order disini untuk saya bawa ke turki ka. terimakasih ya ka
Positive,Produk sudah diterima dan dicek sesuai dengan deskripsi dan gambar. Produk sudah dites / dicoba dan dapat berfungsi baik.,produk sudah diterima dan dicek sesuai dengan deskripsi dan gambar. produk sudah dites / dicoba dan dapat berfungsi baik.
Positive,produk ok. cuman teksturnya terlalu kasar. overall Positive. thanks seller,produk ok. cuman teksturnya terlalu kasar. overall positive. thanks seller
Positive,Kualitas bahan mantap ??. Dijamin Termurah. Berfungsi dengan baik.,kualitas bahan mantap ??. dijamin termurah. berfungsi dengan baik.
Positive,Produk original ??. Nyaman dipakai ??. Dijamin Termurah.,produk original ??. nyaman dipakai ??. dijamin termurah.
Positive,Gampang dipakai. Tekstur empuk.,gampang dipakai. tekstur empuk.
Positive,Mantap sesuai deskripsi. Terimakasih,mantap sesuai deskripsi. terimakasih
Positive,"pengiriman cepat, produk nyaman buat dipakai dirumah.","pengiriman cepat, produk nyaman buat dipakai dirumah."
Positive,Senang sekali... karena sekarang untuk produk ini packingnya tidak dilakban lakban lagi. Sudah dimasukkan plastik per 5 pack.,senang sekali... karena sekarang untuk produk ini packingnya tidak dilakban lakban lagi. sudah dimasukkan plastik per 5 pack.
Positive,puas..??????,puas..??????
Positive,"celemekny dah Dateng,packing hanya diberi kertas amplom coklat, pengiriman cepat","celemekny dah dateng,packing hanya diberi kertas amplom coklat, pengiriman cepat"
Positive,"Selalu puas belanja disini, udah ketiga kalinya beli disini. Pengiriman cepat, respon cepat.","selalu puas belanja disini, udah ketiga kalinya beli disini. pengiriman cepat, respon cepat."
Positive,Bahan menyerap keringat. Ringan dipakai,bahan menyerap keringat. ringan dipakai
Positive,"bagus, sesuai deskripsi, pelayanan cepqt, order lsg kirim, terima kasih","bagus, sesuai deskripsi, pelayanan cepqt, order lsg kirim, terima kasih"
Positive,Terima kasih telah menjual Seruling Yamaha Ori dan barang cepat tiba dalam keadaan baik.,terima kasih telah menjual seruling yamaha ori dan barang cepat tiba dalam keadaan baik.
Positive,Kualitas produk bagus ??. Desainnya cantik ??. Warnanya cantik ??.,kualitas produk bagus ??. desainnya cantik ??. warnanya cantik ??.
Positive,Pengiriman cepat. barang lumayan,pengiriman cepat. barang lumayan
Positive,Barangnya original ??. Gampang dipakai. Ada garansi resmi. Penjualnya ramah banget.,barangnya original ??. gampang dipakai. ada garansi resmi. penjualnya ramah banget.
Positive,"barang sesuai, packing aman, cepat sampai.","barang sesuai, packing aman, cepat sampai."
Positive,"Recommended!. Barang sesuai, seller gercep, pengemasan mantap banget","recommended!. barang sesuai, seller gercep, pengemasan mantap banget"
Positive,"pengiriman cepat, barangnya oke ?? Sesuai Deskripsi. terimakasih.","pengiriman cepat, barangnya oke ?? sesuai deskripsi. terimakasih."
Positive,"dari dulu emang suka dg efek 'nyesss ... adem' pakai sabun ini. apalagi sdg promo beli 2 dapat 3. brg terbungkus rapi dg bubble wrap, aman sampai diterima.","dari dulu emang suka dg efek 'nyesss ... adem' pakai sabun ini. apalagi sdg promo beli 2 dapat 3. brg terbungkus rapi dg bubble wrap, aman sampai diterima."
Positive,mantapppp fast delivery !!!! langganan trs tiap bulan ????????,mantapppp fast delivery !!!! langganan trs tiap bulan ????????
Positive,bagus strap nya...seller jg krmnya cepat,bagus strap nya...seller jg krmnya cepat
Positive,"cuma penyok penyok doang , sisanya bagus kok","cuma penyok penyok doang , sisanya bagus kok"
Positive,Fast response. Produk bagus sesuai pesanan. Pengiriman cepat 1hr,fast response. produk bagus sesuai pesanan. pengiriman cepat 1hr
Positive,Ada garansi resmi. Kelengkapan sesuai. Kemasan disegel. Spesifikasi sesuai .,ada garansi resmi. kelengkapan sesuai. kemasan disegel. spesifikasi sesuai .
Positive,Kualitas Product Bagus. Material bagus. Harga terjangkau!. Recomended.,kualitas product bagus. material bagus. harga terjangkau!. recomended.
Positive,"barang sampai dengan selamat, jumlahnya pas, motifnya bener bener random jadi pas untuk dijadiin bingkisan. bahannya tipis tapi bagus ??","barang sampai dengan selamat, jumlahnya pas, motifnya bener bener random jadi pas untuk dijadiin bingkisan. bahannya tipis tapi bagus ??"
Positive,"Untuk barangnya sangat berkualitas, akan tetapi pengirimnya yang agak lama, terima kasih.","untuk barangnya sangat berkualitas, akan tetapi pengirimnya yang agak lama, terima kasih."
Positive,"pengiriman cepat, packaging nya okeee banget, isinya sesuai, ga gampang macet pas dipakai, pokonya bagusss bangettt terima kasih joyko????","pengiriman cepat, packaging nya okeee banget, isinya sesuai, ga gampang macet pas dipakai, pokonya bagusss bangettt terima kasih joyko????"
Positive,barang yang dikirim mantapp.. bahannya tebal dan tahan air.. cocok utk di air.. seller juga fast respon.. thx u,barang yang dikirim mantapp.. bahannya tebal dan tahan air.. cocok utk di air.. seller juga fast respon.. thx u
Positive,order yang ketiga. gercep. barang oke. pelayanan juga oke,order yang ketiga. gercep. barang oke. pelayanan juga oke
Positive,"pengiriman cepat, packingan double. barang mantab. lgsg di coba n maknyus.. top dah","pengiriman cepat, packingan double. barang mantab. lgsg di coba n maknyus.. top dah"
Positive,Seller ramah dan fast response. Packaging rapih dan kualitas kaos ok ?? bakal beli lagi ??,seller ramah dan fast response. packaging rapih dan kualitas kaos ok ?? bakal beli lagi ??
Positive,"respon cepat, gosend ke Pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu","respon cepat, gosend ke pamulang cepat, dapat diandalkan tepat saat dibutuhkan, kualitas okeee bgt untuk harga segitu, hasil juga cukup memuaskan, thank youuu"
Positive,barangnya bagus sesuai pesanan,barangnya bagus sesuai pesanan
Positive,Jahitan rapi.,jahitan rapi.
Positive,Produk sesuai deskripsi??. Variasi produk beragam. Berfungsi dengan baik.,produk sesuai deskripsi??. variasi produk beragam. berfungsi dengan baik.
Positive,Bahannya adem.,bahannya adem.
Positive,good Ban jadi hitam kembali! Mantap.,good ban jadi hitam kembali! mantap.
Positive,"bahan dan model bagus, hanya saja size terlalu kecil udah up 1 size masih ngepas .Modelnya kekinian.","bahan dan model bagus, hanya saja size terlalu kecil udah up 1 size masih ngepas .modelnya kekinian."
Positive,"respon chat cepat,recomended seller,packing rapi","respon chat cepat,recomended seller,packing rapi"
Positive,"pengiriman sangat cepat, masker jahitannya rapi dan bahan kain baik","pengiriman sangat cepat, masker jahitannya rapi dan bahan kain baik"
Positive,Harganya ok banget dengan keiritan solution tineco ini. Lantai jd keset bersih dan wanginya ga lebay. Mantap,harganya ok banget dengan keiritan solution tineco ini. lantai jd keset bersih dan wanginya ga lebay. mantap
Positive,cepet pengiriman nya....bahannya lumayan tebel.. mudah2an nyerap keringet,cepet pengiriman nya....bahannya lumayan tebel.. mudah2an nyerap keringet
Positive,Mantap Banget. Best price dan pelayanan sangat responsif. Thumbs up!,mantap banget. best price dan pelayanan sangat responsif. thumbs up!
Positive,Barang sesuai pesanan dan dikirim cepat,barang sesuai pesanan dan dikirim cepat
Positive,"Produk diterma dengan baik, pengirimannya juga luar biasa cepat, dicoba juga pas banget untuk nintendonya.","produk diterma dengan baik, pengirimannya juga luar biasa cepat, dicoba juga pas banget untuk nintendonya."
Positive,"Barang sesuai pesanan, diantar sesuai waktu yg dijanjikan, recommended seller!","barang sesuai pesanan, diantar sesuai waktu yg dijanjikan, recommended seller!"
Positive,DS sukses Terima kasih atas kerjasamanya Sist,ds sukses terima kasih atas kerjasamanya sist
Positive,"Seller responsif, barang cukup baik dan sesuai harga. Bisa dilihat antar sambungannya kurang pas, saran saya beli warna gelap agar sela2 sambungan matras tidak tampak. overall saya cukup puas kok. thx seller ??","seller responsif, barang cukup baik dan sesuai harga. bisa dilihat antar sambungannya kurang pas, saran saya beli warna gelap agar sela2 sambungan matras tidak tampak. overall saya cukup puas kok. thx seller ??"
Positive,"packaging aman banget, proses cepet. thankyou","packaging aman banget, proses cepet. thankyou"
Positive,produknya dipaketkan dengan rapi dan tidak ada cacat. Recommended,produknya dipaketkan dengan rapi dan tidak ada cacat. recommended
Positive,"Maaf br review skr, barang sesuai & lsg dipakai gk ada masalah....seller nya cepet ngerespon nya, yg pasti remote nya keren & recomended banget..tks","maaf br review skr, barang sesuai & lsg dipakai gk ada masalah....seller nya cepet ngerespon nya, yg pasti remote nya keren & recomended banget..tks"
Positive,"waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe","waw murah bangetttt, packingnya rapih, produknya bagus keren mantap. sangat uhuuy pisan deh pokoknya hehehehehe"
Positive,Packaging rapi. Gampang dipakai. Desainnya elegan ?. Ada baret dikit tp masi ok lah overall,packaging rapi. gampang dipakai. desainnya elegan ?. ada baret dikit tp masi ok lah overall
Positive,"wih mantap betul sellernya, aku pesen siang menjelang sore langsung sat set sat set tiba2 malemnya udah sampe ???? makasih seller !!","wih mantap betul sellernya, aku pesen siang menjelang sore langsung sat set sat set tiba2 malemnya udah sampe ???? makasih seller !!"
Positive,Nyaman dipakai ?. Jamnya bagus banget. Warnanya cantik ??. Produk sesuai dengan foto.,nyaman dipakai ?. jamnya bagus banget. warnanya cantik ??. produk sesuai dengan foto.
Positive,"mantap, terima kasih seller. order kemarin sore, 24 jam sudah tiba k daerah garut. barang sesuai deskripsi","mantap, terima kasih seller. order kemarin sore, 24 jam sudah tiba k daerah garut. barang sesuai deskripsi"
Positive,Penjualnya ramah . Respon penjualnya bagus.Proses pesanan cepat.,penjualnya ramah . respon penjualnya bagus.proses pesanan cepat.
Positive,Hand sanitizernya oke banget. Wanginya enak & bikin tangan jadi halus abis dipakai. Semoga pas kulitku lagi sensitif ga bikin sakit ??,hand sanitizernya oke banget. wanginya enak & bikin tangan jadi halus abis dipakai. semoga pas kulitku lagi sensitif ga bikin sakit ??
Positive,barang sesuai dan datang dengan selamat,barang sesuai dan datang dengan selamat
Positive,"Respon seller OK.Packaging rapih. Pesanan sesuai. Kukisnya enak teksturnya pas, hanya masih kemanisan mnrt sy. Kalau dikurangi sedikit manisnya lebih ok ??????","respon seller ok.packaging rapih. pesanan sesuai. kukisnya enak teksturnya pas, hanya masih kemanisan mnrt sy. kalau dikurangi sedikit manisnya lebih ok ??????"
Positive,packaging rapi shg lilin datang tetap utuh response penjual cpt,packaging rapi shg lilin datang tetap utuh response penjual cpt
Positive,Lampunya terang!. Pancaran cahaya lampu yg baik. Produk original ??. langsung pasang tinggal liat cahaya mlm gmn!!!,lampunya terang!. pancaran cahaya lampu yg baik. produk original ??. langsung pasang tinggal liat cahaya mlm gmn!!!
Positive,original pengemasan dan pengiriman standar.. siiiipplll,original pengemasan dan pengiriman standar.. siiiipplll
Positive,barangnya bagus sesuai dengan harapan saya.. terima kasih,barangnya bagus sesuai dengan harapan saya.. terima kasih
Positive,"barang cepet pengirimanya, sesuai pesanan","barang cepet pengirimanya, sesuai pesanan"
Positive,"respon penjual cepat, pengiriman cepat dankemasan rapih","respon penjual cepat, pengiriman cepat dankemasan rapih"
Positive,Terimakasih paketnya sudah saya terima.... sukses terus ya,terimakasih paketnya sudah saya terima.... sukses terus ya
Positive,"barang aman diterima, yg paling seneng wanginya enak banget ??","barang aman diterima, yg paling seneng wanginya enak banget ??"
Positive,"Packingnya BEST banget deh pokoknya aman. Kotak juga di double in, ada sterofoam didalam kotak jadi botol aman.","packingnya best banget deh pokoknya aman. kotak juga di double in, ada sterofoam didalam kotak jadi botol aman."
Positive,"Barang sudah diterima sesuai deskripsi, repon cepat, paking bagus, terima kasih","barang sudah diterima sesuai deskripsi, repon cepat, paking bagus, terima kasih"
Positive,Jahitan rapi. Warnanya cantik ??. Mudah dibentuk.,jahitan rapi. warnanya cantik ??. mudah dibentuk.
Positive,Barang kondisi diterima baik dan aman. Saran aja mohon lebih cepat proses kirim nya dan klo di chat jgn respon nya lama sekali. Tks,barang kondisi diterima baik dan aman. saran aja mohon lebih cepat proses kirim nya dan klo di chat jgn respon nya lama sekali. tks
Positive,"AIRO ini punya customer service yang super duper bagus, kapanpun saya punya pertanyaan, mereka selalu jawab dengan okey! Produknya pun bagus! Puas banget! Love AIRO??","airo ini punya customer service yang super duper bagus, kapanpun saya punya pertanyaan, mereka selalu jawab dengan okey! produknya pun bagus! puas banget! love airo??"
Positive,"barang sesuai pesanan,pengiriman cepat,pengemasan sangat bagus,bubble wrap tebal????","barang sesuai pesanan,pengiriman cepat,pengemasan sangat bagus,bubble wrap tebal????"
Positive,bagus banget mainan nya anak2 aku suka,bagus banget mainan nya anak2 aku suka
Positive,mmmaaaannnnttttaaapppp.....,mmmaaaannnnttttaaapppp.....
Positive,"Pelayanan cpt, packing rapi, pokokny toko ini the best deh..??","pelayanan cpt, packing rapi, pokokny toko ini the best deh..??"
Positive,"baru juga dipesan langsung di proses,penjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen","baru juga dipesan langsung di proses,penjual ramah beyblade berputar kencang seperti dan juga harga lebih murah dari toko laen"
Positive,"plastiknya cukup tebal, desainnya keliatan cukup kokoh. Langsung dipakai utk zoom. hape stabil. mudah2an awet.","plastiknya cukup tebal, desainnya keliatan cukup kokoh. langsung dipakai utk zoom. hape stabil. mudah2an awet."
Positive,"Waktu dites pake tongkat, jepretannya mantep bgt. Cuma pas beneran dikasi umpan buat tikus, setelah semalem, umpannya ngilang, tapi ga ada tikus yg ketangkep","waktu dites pake tongkat, jepretannya mantep bgt. cuma pas beneran dikasi umpan buat tikus, setelah semalem, umpannya ngilang, tapi ga ada tikus yg ketangkep"
Positive,Cantik Banget,cantik banget
Positive,Mantap keren. Cuma harus colok listrik kalau mau pakai fitur always-on. Kalau pake batre (AAA 3biji) harus dipencet dulu baru nyala,mantap keren. cuma harus colok listrik kalau mau pakai fitur always-on. kalau pake batre (aaa 3biji) harus dipencet dulu baru nyala
Positive,"Mantap hijau terang, cuman sayang agak kelipet kotak kotak jadinya... Gatau cara ngelurusinnya gimana, disetrika kayaknya lengket","mantap hijau terang, cuman sayang agak kelipet kotak kotak jadinya... gatau cara ngelurusinnya gimana, disetrika kayaknya lengket"
